Indicator Name,Geography,Region,Year,Category,Subcategory,Numerator,Denominator,Rate,Lower 95% Confidence Limit,Upper 95% Confidence Limit,
Pregnancy-Related Mortality Ratio,United States,,2009,Total Population,Total population,,,17.8,,,
Pregnancy-Related Mortality Ratio,California,,2009,Total Population,Total population,90,526774,17.1,13.7,21,
Pregnancy-Related Mortality Ratio,United States,,2010,Total Population,Total population,,,16.7,,,
Pregnancy-Related Mortality Ratio,California,,2010,Total Population,Total population,72,509979,14.1,11,17.8,
Pregnancy-Related Mortality Ratio,United States,,2011,Total Population,Total population,,,17.8,,,
Pregnancy-Related Mortality Ratio,California,,2011,Total Population,Total population,65,502023,12.9,10,16.5,
Pregnancy-Related Mortality Ratio,United States,,2012,Total Population,Total population,,,15.9,,,
Pregnancy-Related Mortality Ratio,California,,2012,Total Population,Total population,48,503788,9.5,7,12.6,
Pregnancy-Related Mortality Ratio,United States,,2013,Total Population,Total population,,,17.3,,,
Pregnancy-Related Mortality Ratio,California,,2013,Total Population,Total population,53,494392,10.7,8,14,
Pregnancy-Related Mortality Ratio,United States,,2014,Total Population,Total population,,,18,,,
Pregnancy-Related Mortality Ratio,California,,2014,Total Population,Total population,58,502973,11.5,8.8,14.9,
Pregnancy-Related Mortality Ratio,United States,,2015,Total Population,Total population,,,17.2,,,
Pregnancy-Related Mortality Ratio,California,,2015,Total Population,Total population,66,491789,13.4,10.4,17.1,
Pregnancy-Related Mortality Ratio,United States,,2016,Total Population,Total population,,,16.9,,,
Pregnancy-Related Mortality Ratio,California,,2016,Total Population,Total population,69,488925,14.1,11,17.9,
Pregnancy-Related Mortality Ratio,United States,,2017,Total Population,Total population,,,17.3,,,
Pregnancy-Related Mortality Ratio,California,,2017,Total Population,Total population,62,471806,13.1,10.1,16.8,
Pregnancy-Related Mortality Ratio,United States,,2018,Total Population,Total population,,,17.3,,,
Pregnancy-Related Mortality Ratio,California,,2018,Total Population,Total population,73,454239,16.1,12.6,20.2,
Pregnancy-Related Mortality Ratio,United States,,2019,Total Population,Total population,,,17.6,,,
Pregnancy-Related Mortality Ratio,California,,2019,Total Population,Total population,57,446539,12.8,9.7,16.5,
Pregnancy-Related Mortality Ratio,United States,,2020,Total Population,Total population,,,0,,,
Pregnancy-Related Mortality Ratio,California,,2020,Total Population,Total population,78,420386,18.6,14.7,23.2,
Pregnancy-Related Mortality Ratio,United States,,2021,Total Population,Total population,,,0,,,
Pregnancy-Related Mortality Ratio,California,,2021,Total Population,Total population,91,420754,21.6,17.4,26.6,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Total Population,Total population,227,1538776,14.8,12.8,16.7,
Pregnancy-Related Mortality Ratio,California,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,California,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,California,Southern Central Valley,2009-2011,Total Population,Total population,41,169857,24.1,17.3,32.7,
Pregnancy-Related Mortality Ratio,California,Los Angeles - Santa Barbara - Ventura,2009-2011,Total Population,Total population,70,453968,15.4,12,19.5,
Pregnancy-Related Mortality Ratio,California,Southern Inland,2009-2011,Total Population,Total population,29,187884,15.4,10.3,22.2,
Pregnancy-Related Mortality Ratio,California,Orange - San Diego - Imperial,2009-2011,Total Population,Total population,31,259479,11.9,8.1,17,
Pregnancy-Related Mortality Ratio,Alameda,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Alpine,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Amador,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Butte,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Calaveras,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Colusa,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Contra Costa,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Del Norte,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,El Dorado,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Fresno,Southern Central Valley,2009-2011,Total Population,Total population,41,169857,24.1,17.3,32.7,
Pregnancy-Related Mortality Ratio,Glenn,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
